[SISTEMA2]
[cpf-vend]#[cod-prod]#[nome-prod]#[cod-vend]#[qtd-vend]#[valor-vend]#[cnpj-loja]#[cidade-loja]#[data-vend]#[nome-loja]#
12345678914#261#Produto - 261#1#61#54#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 175#
12345678915#797#Produto - 797#2#69#691#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 914#
12345678919#362#Produto - 362#3#52#680#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 990#
12345678917#973#Produto - 973#4#14#646#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 501#
12345678917#275#Produto - 275#5#7#449#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 619#
12345678907#107#Produto - 107#6#54#261#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 824#
12345678942#828#Produto - 828#7#80#144#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 914#
12345678905#711#Produto - 711#8#16#88#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 232#
12345678906#998#Produto - 998#9#70#517#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 944#
12345678910#277#Produto - 277#10#76#645#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 540#
12345678916#52#Produto - 52#11#60#350#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 253#
12345678911#993#Produto - 993#12#37#183#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 749#
12345678903#684#Produto - 684#13#49#641#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 941#
12345678943#215#Produto - 215#14#78#826#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 842#
12345678921#671#Produto - 671#15#49#531#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 766#
12345678904#548#Produto - 548#16#2#683#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 371#
12345678908#391#Produto - 391#17#82#438#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 529#
12345678924#382#Produto - 382#18#83#898#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 213#
12345678922#99#Produto - 99#19#20#808#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 20#
12345678926#83#Produto - 83#20#71#320#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 445#
12345678923#575#Produto - 575#21#10#622#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 649#
12345678936#328#Produto - 328#22#50#918#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 624#
12345678948#539#Produto - 539#23#51#251#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 377#
12345678906#267#Produto - 267#24#50#250#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 738#
12345678946#323#Produto - 323#25#77#519#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 225#
12345678947#837#Produto - 837#26#91#351#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 623#
12345678932#404#Produto - 404#27#90#222#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 506#
12345678937#805#Produto - 805#28#25#509#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 867#
12345678946#940#Produto - 940#29#81#581#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 256#
12345678927#382#Produto - 382#30#30#528#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 86#
12345678950#418#Produto - 418#31#62#458#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 363#
12345678907#547#Produto - 547#32#27#208#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 761#
12345678905#446#Produto - 446#33#22#511#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 485#
12345678935#258#Produto - 258#34#28#130#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 614#
12345678946#922#Produto - 922#35#57#114#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 864#
12345678902#367#Produto - 367#36#80#461#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 160#
12345678905#195#Produto - 195#37#52#937#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 631#
12345678918#400#Produto - 400#38#53#78#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 607#
12345678932#364#Produto - 364#39#24#699#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 630#
12345678915#778#Produto - 778#40#52#903#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 12#
12345678904#709#Produto - 709#41#54#175#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 641#
12345678941#440#Produto - 440#42#97#634#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 638#
12345678932#724#Produto - 724#43#98#664#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 746#
12345678944#737#Produto - 737#44#99#976#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 342#
12345678924#400#Produto - 400#45#0#690#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 979#
12345678921#595#Produto - 595#46#9#714#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 420#
12345678917#309#Produto - 309#47#9#154#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 144#
12345678927#682#Produto - 682#48#24#501#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 946#
12345678934#66#Produto - 66#49#87#723#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 860#
12345678920#913#Produto - 913#50#82#850#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 217#
12345678916#354#Produto - 354#51#19#781#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 716#
12345678925#276#Produto - 276#52#12#369#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 144#
12345678944#287#Produto - 287#53#99#878#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 436#
12345678926#649#Produto - 649#54#61#110#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 883#
12345678908#170#Produto - 170#55#7#710#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 174#
12345678906#398#Produto - 398#56#14#395#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 772#
12345678941#429#Produto - 429#57#41#657#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 343#
12345678928#556#Produto - 556#58#61#838#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 574#
12345678904#440#Produto - 440#59#51#601#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 815#
12345678923#143#Produto - 143#60#75#836#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 980#
12345678916#281#Produto - 281#61#77#770#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 220#
12345678913#875#Produto - 875#62#14#208#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 521#
12345678930#604#Produto - 604#63#11#936#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 897#
12345678916#931#Produto - 931#64#96#25#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 406#
12345678940#428#Produto - 428#65#72#39#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 100#
12345678934#464#Produto - 464#66#79#363#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 130#
12345678926#497#Produto - 497#67#63#38#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 323#
12345678902#678#Produto - 678#68#89#56#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 172#
12345678942#213#Produto - 213#69#3#583#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 790#
12345678915#458#Produto - 458#70#24#206#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 639#
12345678925#435#Produto - 435#71#25#786#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 930#
12345678921#497#Produto - 497#72#58#722#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 532#
12345678921#139#Produto - 139#73#20#718#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 360#
12345678947#464#Produto - 464#74#46#987#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 882#
12345678913#516#Produto - 516#75#66#768#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 364#
12345678940#906#Produto - 906#76#76#414#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 560#
12345678942#471#Produto - 471#77#77#223#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 417#
12345678931#519#Produto - 519#78#27#947#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 688#
12345678915#427#Produto - 427#79#32#26#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 47#
12345678927#809#Produto - 809#80#77#606#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 894#
12345678930#868#Produto - 868#81#56#787#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 330#
12345678922#503#Produto - 503#82#7#806#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 518#
12345678909#442#Produto - 442#83#49#837#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 919#
12345678947#214#Produto - 214#84#45#104#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 685#
12345678918#852#Produto - 852#85#81#102#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 836#
12345678926#792#Produto - 792#86#28#815#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 121#
12345678912#875#Produto - 875#87#67#487#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 629#
12345678928#766#Produto - 766#88#38#674#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 997#
12345678907#464#Produto - 464#89#79#346#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 452#
12345678917#403#Produto - 403#90#59#218#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 808#
12345678940#917#Produto - 917#91#19#68#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 611#
12345678908#669#Produto - 669#92#48#34#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 208#
12345678925#83#Produto - 83#93#85#67#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 201#
12345678945#723#Produto - 723#94#95#403#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 335#
12345678926#312#Produto - 312#95#37#905#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 13#
12345678943#62#Produto - 62#96#77#857#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 315#
12345678921#11#Produto - 11#97#9#266#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 359#
12345678948#251#Produto - 251#98#99#668#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 210#
12345678933#442#Produto - 442#99#98#640#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 755#
12345678923#30#Produto - 30#100#39#476#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 827#
12345678920#389#Produto - 389#101#41#319#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 172#
12345678906#770#Produto - 770#102#37#897#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 252#
12345678931#517#Produto - 517#103#25#42#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 738#
12345678949#184#Produto - 184#104#52#934#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 333#
12345678934#364#Produto - 364#105#94#774#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 40#
12345678918#858#Produto - 858#106#5#907#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 491#
12345678921#640#Produto - 640#107#12#820#1234567890001#Floripa#2020-09-28T16:46:38#Loja - 264#
